Metric,IBEX,SPX
Mean_Return,5.076820421199891e-05,0.00022844727168405053
Volatility_RV,0.194377216812327,0.1604306641061803
Volatility_EGARCH,1.1053243093233152,1.0039489943984912
Max_Drawdown,-0.7387976467873705,-0.6433313352381411
VaR95_Exceedance_Rate,0.04869024715110256,0.03389077993192245
VaR99_Exceedance_Rate,0.010063637709042474,0.00547580287109664
Avg_VaR95_Severity,-0.9373297492659718,-0.9138020856956897
Beta_Mean,0.6296875041736641,
Beta_Min,-0.08110944238577245,
Beta_Max,1.9371769034611963,
Corr_Mean,0.47703010453834155,
