Date,Index,VaR95_exc,VaR99_exc,Severity95
2000-01-04,IBEX,1,0,-1.007858444289596
2000-01-05,IBEX,1,0,-0.4295414478619355
2000-01-06,IBEX,0,0,
2000-01-07,IBEX,0,0,
2000-01-10,IBEX,0,0,
2000-01-11,IBEX,0,0,
2000-01-12,IBEX,0,0,
2000-01-13,IBEX,0,0,
2000-01-14,IBEX,0,0,
2000-01-17,IBEX,0,0,
2000-01-18,IBEX,0,0,
2000-01-19,IBEX,0,0,
2000-01-20,IBEX,0,0,
2000-01-21,IBEX,0,0,
2000-01-24,IBEX,0,0,
2000-01-25,IBEX,0,0,
2000-01-26,IBEX,0,0,
2000-01-27,IBEX,0,0,
2000-01-28,IBEX,0,0,
2000-01-31,IBEX,0,0,
2000-02-01,IBEX,0,0,
2000-02-02,IBEX,0,0,
2000-02-03,IBEX,0,0,
2000-02-04,IBEX,0,0,
2000-02-07,IBEX,0,0,
2000-02-08,IBEX,0,0,
2000-02-09,IBEX,0,0,
2000-02-10,IBEX,0,0,
2000-02-11,IBEX,0,0,
2000-02-14,IBEX,0,0,
2000-02-15,IBEX,0,0,
2000-02-16,IBEX,0,0,
2000-02-17,IBEX,0,0,
2000-02-18,IBEX,0,0,
2000-02-21,IBEX,0,0,
2000-02-22,IBEX,0,0,
2000-02-23,IBEX,0,0,
2000-02-24,IBEX,0,0,
2000-02-25,IBEX,0,0,
2000-02-28,IBEX,0,0,
2000-02-29,IBEX,0,0,
2000-03-01,IBEX,0,0,
2000-03-02,IBEX,0,0,
2000-03-03,IBEX,0,0,
2000-03-06,IBEX,0,0,
2000-03-07,IBEX,0,0,
2000-03-08,IBEX,0,0,
2000-03-09,IBEX,0,0,
2000-03-10,IBEX,0,0,
2000-03-13,IBEX,0,0,
2000-03-14,IBEX,0,0,
2000-03-15,IBEX,1,0,-0.011712081209193759
2000-03-16,IBEX,0,0,
2000-03-17,IBEX,0,0,
2000-03-20,IBEX,0,0,
2000-03-21,IBEX,0,0,
2000-03-22,IBEX,0,0,
2000-03-23,IBEX,0,0,
2000-03-24,IBEX,0,0,
2000-03-27,IBEX,0,0,
2000-03-28,IBEX,0,0,
2000-03-29,IBEX,0,0,
2000-03-30,IBEX,1,0,-0.06731004605627877
2000-03-31,IBEX,0,0,
2000-04-03,IBEX,0,0,
2000-04-04,IBEX,0,0,
2000-04-05,IBEX,0,0,
2000-04-06,IBEX,0,0,
2000-04-07,IBEX,0,0,
2000-04-10,IBEX,0,0,
2000-04-11,IBEX,0,0,
2000-04-12,IBEX,0,0,
2000-04-13,IBEX,0,0,
2000-04-14,IBEX,1,0,-0.1658378022587219
2000-04-17,IBEX,0,0,
2000-04-18,IBEX,0,0,
2000-04-19,IBEX,0,0,
2000-04-20,IBEX,0,0,
2000-04-21,IBEX,0,0,
2000-04-24,IBEX,0,0,
2000-04-25,IBEX,0,0,
2000-04-26,IBEX,0,0,
2000-04-27,IBEX,0,0,
2000-04-28,IBEX,0,0,
2000-05-01,IBEX,0,0,
2000-05-02,IBEX,0,0,
2000-05-03,IBEX,0,0,
2000-05-04,IBEX,0,0,
2000-05-05,IBEX,0,0,
2000-05-08,IBEX,0,0,
2000-05-09,IBEX,0,0,
2000-05-10,IBEX,0,0,
2000-05-11,IBEX,0,0,
2000-05-12,IBEX,0,0,
2000-05-15,IBEX,0,0,
2000-05-16,IBEX,0,0,
2000-05-17,IBEX,1,0,-0.3700010760653014
2000-05-18,IBEX,0,0,
2000-05-19,IBEX,1,0,-0.7129172915685915
2000-05-22,IBEX,0,0,
2000-05-23,IBEX,0,0,
2000-05-24,IBEX,0,0,
2000-05-25,IBEX,0,0,
2000-05-26,IBEX,0,0,
2000-05-29,IBEX,0,0,
2000-05-30,IBEX,0,0,
2000-05-31,IBEX,0,0,
2000-06-01,IBEX,0,0,
2000-06-02,IBEX,0,0,
2000-06-05,IBEX,0,0,
2000-06-06,IBEX,0,0,
2000-06-07,IBEX,0,0,
2000-06-08,IBEX,0,0,
2000-06-09,IBEX,0,0,
2000-06-12,IBEX,0,0,
2000-06-13,IBEX,0,0,
2000-06-14,IBEX,0,0,
2000-06-15,IBEX,0,0,
2000-06-16,IBEX,0,0,
2000-06-19,IBEX,0,0,
2000-06-20,IBEX,0,0,
2000-06-21,IBEX,0,0,
2000-06-22,IBEX,0,0,
2000-06-23,IBEX,0,0,
2000-06-26,IBEX,0,0,
2000-06-27,IBEX,0,0,
