iteration,train_start,train_end,test_end,model,index,mae,rmse,mae_roll,rmse_roll,high_error_regime,cusum_rmse,cusumsq_rmse
1,2000-01-04,2009-08-31,2009-11-26,ARIMA,IBEX,0.0101867662864151,0.0124723833146993,0.0101867662864151,0.0124723833146993,0,0.03546431204597521,0.0012577174288943022
2,2000-03-31,2009-11-26,2010-02-23,ARIMA,IBEX,0.0101722782450459,0.0139955134172773,0.0101795222657305,0.0132339483659883,0,0.36102683394338186,0.10724867309309367
3,2000-06-28,2010-02-23,2010-05-21,ARIMA,IBEX,0.0164210374050157,0.0258687473624986,0.0122600273121589,0.0174455480314917,1,2.9479877136212966,6.799615266077025
4,2000-09-25,2010-05-21,2010-08-18,ARIMA,IBEX,0.0138274077313081,0.0184341245659299,0.0126518724169462,0.0176926921651012,1,4.1189364216831805,8.170736142988819
5,2000-12-21,2010-08-18,2010-11-15,ARIMA,IBEX,0.0088059247815531,0.0112081806493598,0.0123066620407307,0.0173766414987664,1,3.9136183281528627,8.212891662519743
6,2001-03-20,2010-11-15,2011-02-10,ARIMA,IBEX,0.0114041743368751,0.0155059988992339,0.012614636063688,0.0177542628692555,1,4.526870741793937,8.588970185356345
7,2001-06-15,2011-02-10,2011-05-10,ARIMA,IBEX,0.0076067732878974,0.0101857539755572,0.0104110700344084,0.0138335145225201,0,4.126819350515472,8.74901130102018
8,2001-09-12,2011-05-10,2011-08-05,ARIMA,IBEX,0.0115304740329261,0.0148599628116454,0.0098368366098129,0.012939974083949,0,4.617026521867896,8.989314371865525
9,2001-12-10,2011-08-05,2011-11-02,ARIMA,IBEX,0.0204326772246764,0.0250611709978369,0.0127435247205937,0.0164032216710683,1,7.050174895765669,14.909525381266903
10,2002-03-07,2011-11-02,2012-01-30,ARIMA,IBEX,0.0125927216073852,0.0162150396539395,0.0130406615382212,0.0165804818597447,1,7.7984725385067755,15.4694747433988
11,2002-06-04,2012-01-30,2012-04-26,ARIMA,IBEX,0.0117391990918161,0.0153990959854112,0.0140737679892009,0.0178838173622082,1,8.39136402311403,15.820995055918592
12,2002-08-30,2012-04-26,2012-07-24,ARIMA,IBEX,0.0161989281757516,0.0206679237053694,0.0152408815249073,0.0193358075856392,1,9.987766295794094,18.36949527213667
