iteration,train_start,train_end,test_end,model,index,mae,rmse
1,2000-01-04,2009-08-31,2009-11-26,ARIMA,IBEX,0.010186766286415195,0.01247238331469937
2,2000-03-31,2009-11-26,2010-02-23,ARIMA,IBEX,0.010172278245045912,0.013995513417277323
3,2000-06-28,2010-02-23,2010-05-21,ARIMA,IBEX,0.01642103740501571,0.02586874736249866
4,2000-09-25,2010-05-21,2010-08-18,ARIMA,IBEX,0.013827407731308172,0.018434124565929993
5,2000-12-21,2010-08-18,2010-11-15,ARIMA,IBEX,0.00880592478155313,0.011208180649359849
6,2001-03-20,2010-11-15,2011-02-10,ARIMA,IBEX,0.011404174336875126,0.015505998899233996
7,2001-06-15,2011-02-10,2011-05-10,ARIMA,IBEX,0.007606773287897416,0.010185753975557276
8,2001-09-12,2011-05-10,2011-08-05,ARIMA,IBEX,0.011530474032926116,0.014859962811645411
9,2001-12-10,2011-08-05,2011-11-02,ARIMA,IBEX,0.02043267722467643,0.025061170997836946
10,2002-03-07,2011-11-02,2012-01-30,ARIMA,IBEX,0.012592721607385221,0.016215039653939556
11,2002-06-04,2012-01-30,2012-04-26,ARIMA,IBEX,0.011739199091816132,0.015399095985411271
12,2002-08-30,2012-04-26,2012-07-24,ARIMA,IBEX,0.016198928175751616,0.020667923705369497
13,2002-11-27,2012-07-24,2012-10-19,ARIMA,IBEX,0.015500729851529341,0.021402422210176863
14,2003-02-24,2012-10-19,2013-01-16,ARIMA,IBEX,0.006832948256463459,0.00971272234674319
15,2003-05-22,2013-01-16,2013-04-15,ARIMA,IBEX,0.01139705199298999,0.014296285441387165
16,2003-08-19,2013-04-15,2013-07-11,ARIMA,IBEX,0.009806073657699619,0.012570641332567032
17,2003-11-14,2013-07-11,2013-10-08,ARIMA,IBEX,0.00799220325170006,0.010171141938854374
18,2004-02-11,2013-10-08,2014-01-03,ARIMA,IBEX,0.00732655685735709,0.00901845951045652
19,2004-05-10,2014-01-03,2014-04-02,ARIMA,IBEX,0.008299583257960274,0.011038841830088818
20,2004-08-05,2014-04-02,2014-06-30,ARIMA,IBEX,0.006134240679410701,0.008208788020944656
21,2004-11-02,2014-06-30,2014-09-25,ARIMA,IBEX,0.007736157151271425,0.009868476201874553
22,2005-01-28,2014-09-25,2014-12-23,ARIMA,IBEX,0.0128050995429208,0.015826603646990983
23,2005-04-27,2014-12-23,2015-03-20,ARIMA,IBEX,0.009309711606793952,0.0124398876460842
24,2005-07-25,2015-03-20,2015-06-17,ARIMA,IBEX,0.0072910887911304114,0.00970975308226121
25,2005-10-20,2015-06-17,2015-09-14,ARIMA,IBEX,0.012699781657877761,0.016863682697285443
26,2006-01-17,2015-09-14,2015-12-10,ARIMA,IBEX,0.009264363006899395,0.012547021620191992
27,2006-04-14,2015-12-10,2016-03-08,ARIMA,IBEX,0.016297829715904495,0.019892737809969478
28,2006-07-12,2016-03-08,2016-06-03,ARIMA,IBEX,0.009313791319116803,0.012521252085532023
29,2006-10-09,2016-06-03,2016-08-31,ARIMA,IBEX,0.013081714574062172,0.02180139091657669
30,2007-01-04,2016-08-31,2016-11-28,ARIMA,IBEX,0.007574835237344765,0.00930717594194642
31,2007-04-03,2016-11-28,2017-02-23,ARIMA,IBEX,0.006085455862749798,0.008123813302772068
32,2007-06-29,2017-02-23,2017-05-23,ARIMA,IBEX,0.0063804613820456196,0.009126108299369542
33,2007-09-26,2017-05-23,2017-08-18,ARIMA,IBEX,0.0057852042943164934,0.007351616724401838
34,2007-12-24,2017-08-18,2017-11-15,ARIMA,IBEX,0.0064335152515563885,0.008894994542252434
35,2008-03-20,2017-11-15,2018-02-12,ARIMA,IBEX,0.006134117391993471,0.008442472730360005
36,2008-06-17,2018-02-12,2018-05-10,ARIMA,IBEX,0.005288476440027243,0.007029440985935283
37,2008-09-12,2018-05-10,2018-08-07,ARIMA,IBEX,0.006802291910619678,0.008476047403057128
38,2008-12-10,2018-08-07,2018-11-02,ARIMA,IBEX,0.0063359407743657096,0.007668349698094522
39,2009-03-09,2018-11-02,2019-01-30,ARIMA,IBEX,0.0073167001207659526,0.00971361408479589
40,2009-06-04,2019-01-30,2019-04-29,ARIMA,IBEX,0.004968967948381627,0.006766654764944642
41,2009-09-01,2019-04-29,2019-07-25,ARIMA,IBEX,0.005622596596924902,0.007063728787615638
42,2009-11-27,2019-07-25,2019-10-22,ARIMA,IBEX,0.007397908549755902,0.009481393259388168
43,2010-02-24,2019-10-22,2020-01-17,ARIMA,IBEX,0.004753913965659162,0.006663984310968827
44,2010-05-24,2020-01-17,2020-04-15,ARIMA,IBEX,0.02078872698008027,0.03290556118152745
45,2010-08-19,2020-04-15,2020-07-13,ARIMA,IBEX,0.016008187452401894,0.019521101507021976
46,2010-11-16,2020-07-13,2020-10-08,ARIMA,IBEX,0.009333859640275494,0.012232834153550948
47,2011-02-11,2020-10-08,2021-01-05,ARIMA,IBEX,0.010910800451976246,0.01625886099188784
48,2011-05-11,2021-01-05,2021-04-02,ARIMA,IBEX,0.008041121643621281,0.010381015388590238
49,2011-08-08,2021-04-02,2021-06-30,ARIMA,IBEX,0.006477411158251511,0.008743142313775518
50,2011-11-03,2021-06-30,2021-09-27,ARIMA,IBEX,0.007702044565074014,0.009633606466291751
51,2012-01-31,2021-09-27,2021-12-23,ARIMA,IBEX,0.009120301857301668,0.012069073626765629
52,2012-04-27,2021-12-23,2022-03-22,ARIMA,IBEX,0.01040869822953353,0.015037904050539293
53,2012-07-25,2022-03-22,2022-06-17,ARIMA,IBEX,0.009760838341015854,0.012556198364468741
54,2012-10-22,2022-06-17,2022-09-14,ARIMA,IBEX,0.008128958110887239,0.010178806910768012
55,2013-01-17,2022-09-14,2022-12-12,ARIMA,IBEX,0.008341623736690023,0.01040698584673289
56,2013-04-16,2022-12-12,2023-03-09,ARIMA,IBEX,0.006304624721556606,0.008061242941606107
57,2013-07-12,2023-03-09,2023-06-06,ARIMA,IBEX,0.008039625342496429,0.01160239824016578
58,2013-10-09,2023-06-06,2023-09-01,ARIMA,IBEX,0.00568756001673647,0.0074877747914014105
59,2014-01-06,2023-09-01,2023-11-29,ARIMA,IBEX,0.006411008697220953,0.008101624548131238
60,2014-04-03,2023-11-29,2024-02-26,ARIMA,IBEX,0.005271453202762625,0.006705096266926576
61,2014-07-01,2024-02-26,2024-05-23,ARIMA,IBEX,0.006428924079846975,0.008265204713782228
62,2014-09-26,2024-05-23,2024-08-20,ARIMA,IBEX,0.007768999306560449,0.009444784046847385
63,2014-12-24,2024-08-20,2024-11-15,ARIMA,IBEX,0.006188166311957468,0.008050774176886514
64,2015-03-23,2024-11-15,2025-02-12,ARIMA,IBEX,0.005993992071268317,0.007744392536397466
65,2015-06-18,2025-02-12,2025-05-12,ARIMA,IBEX,0.010019963868566649,0.015291630075669764
66,2015-09-15,2025-05-12,2025-08-07,ARIMA,IBEX,0.006413762320883621,0.008334579148729038
1,2000-01-04,2009-08-31,2009-11-26,ARIMA,SPX,0.008529034744567015,0.010959911948587666
2,2000-03-31,2009-11-26,2010-02-23,ARIMA,SPX,0.007108369535382408,0.009378214764438468
3,2000-06-28,2010-02-23,2010-05-21,ARIMA,SPX,0.008137376369835489,0.01210036241711821
4,2000-09-25,2010-05-21,2010-08-18,ARIMA,SPX,0.009787515068041461,0.013792580245749536
5,2000-12-21,2010-08-18,2010-11-15,ARIMA,SPX,0.006590352219982848,0.009052227989619096
6,2001-03-20,2010-11-15,2011-02-10,ARIMA,SPX,0.004757113996145234,0.007004955909989804
7,2001-06-15,2011-02-10,2011-05-10,ARIMA,SPX,0.006081259882585961,0.007909469444952789
8,2001-09-12,2011-05-10,2011-08-05,ARIMA,SPX,0.008050153840434515,0.011235347816721605
9,2001-12-10,2011-08-05,2011-11-02,ARIMA,SPX,0.017952261775521634,0.022567573706583112
10,2002-03-07,2011-11-02,2012-01-30,ARIMA,SPX,0.008592777264627887,0.012598401635883395
11,2002-06-04,2012-01-30,2012-04-26,ARIMA,SPX,0.005542021254327296,0.007306693853952013
12,2002-08-30,2012-04-26,2012-07-24,ARIMA,SPX,0.007394463129916684,0.009660553925091554
13,2002-11-27,2012-07-24,2012-10-19,ARIMA,SPX,0.0047994571786219775,0.006982644865536887
14,2003-02-24,2012-10-19,2013-01-16,ARIMA,SPX,0.005354279277958331,0.007894611411919106
15,2003-05-22,2013-01-16,2013-04-15,ARIMA,SPX,0.004977739679507429,0.006681388654073992
16,2003-08-19,2013-04-15,2013-07-11,ARIMA,SPX,0.006724902523054566,0.008298820830569795
17,2003-11-14,2013-07-11,2013-10-08,ARIMA,SPX,0.004616983580857849,0.00580234171618819
18,2004-02-11,2013-10-08,2014-01-03,ARIMA,SPX,0.004579991230542786,0.006197845010700371
19,2004-05-10,2014-01-03,2014-04-02,ARIMA,SPX,0.005519609888535021,0.007355987524119633
20,2004-08-05,2014-04-02,2014-06-30,ARIMA,SPX,0.004276091111179124,0.005816704891479806
