iteration,index,n_test,var_exceedances,coverage_rate,coverage_roll,expected_coverage,coverage_gap
1,IBEX,62,2,0.03225806451612903,0.03225806451612903,0.05,-0.01774193548387097
2,IBEX,57,5,0.08771929824561403,0.05998868138087153,0.05,0.009988681380871528
3,IBEX,62,5,0.08064516129032258,0.06687417468402189,0.05,0.016874174684021886
4,IBEX,62,4,0.06451612903225806,0.06628466327108093,0.05,0.016284663271080926
5,IBEX,63,3,0.047619047619047616,0.07012490904681057,0.05,0.020124909046810566
6,IBEX,60,3,0.05,0.060695084485407065,0.05,0.010695084485407062
7,IBEX,61,4,0.06557377049180328,0.05692723678577724,0.05,0.006927236785777238
8,IBEX,62,4,0.06451612903225806,0.05692723678577724,0.05,0.006927236785777238
9,IBEX,63,8,0.12698412698412698,0.07676850662704708,0.05,0.02676850662704708
10,IBEX,60,3,0.05,0.07676850662704708,0.05,0.02676850662704708
11,IBEX,61,5,0.08196721311475409,0.08086686728278478,0.05,0.030866867282784774
12,IBEX,61,5,0.08196721311475409,0.0852296383034088,0.05,0.03522963830340879
13,IBEX,63,3,0.047619047619047616,0.06538836846213895,0.05,0.015388368462138952
14,IBEX,58,1,0.017241379310344827,0.05719871328972516,0.05,0.007198713289725156
15,IBEX,60,3,0.05,0.049206910011036636,0.05,-0.0007930899889633664
16,IBEX,61,1,0.01639344262295082,0.03281346738808582,0.05,-0.017186532611914183
17,IBEX,63,4,0.06349206349206349,0.03678172135633978,0.05,-0.013218278643660222
18,IBEX,60,3,0.05,0.044971376528753576,0.05,-0.005028623471246427
19,IBEX,62,2,0.03225806451612903,0.04053589265778584,0.05,-0.009464107342214166
20,IBEX,60,2,0.03333333333333333,0.04477086533538146,0.05,-0.005229134664618544
21,IBEX,62,4,0.06451612903225806,0.04502688172043011,0.05,-0.004973118279569894
22,IBEX,63,5,0.07936507936507936,0.05236815156169995,0.05,0.0023681515616999493
23,IBEX,59,2,0.03389830508474576,0.052778211703854126,0.05,0.0027782117038541235
24,IBEX,60,6,0.1,0.0694448783705208,0.05,0.019444878370520793
25,IBEX,62,5,0.08064516129032258,0.07347713643503692,0.05,0.02347713643503692
26,IBEX,63,2,0.031746031746031744,0.06157237453027502,0.05,0.011572374530275015
27,IBEX,60,3,0.05,0.06559779825908858,0.05,0.01559779825908858
28,IBEX,61,2,0.03278688524590164,0.04879451957056399,0.05,-0.0012054804294360094
29,IBEX,63,2,0.031746031746031744,0.03656973718449128,0.05,-0.013430262815508721
30,IBEX,62,2,0.03225806451612903,0.0366977453770156,0.05,-0.0133022546229844
31,IBEX,60,1,0.016666666666666666,0.02836441204368227,0.05,-0.02163558795631773
32,IBEX,61,3,0.04918032786885246,0.032462772699419974,0.05,-0.01753722730058003
33,IBEX,62,0,0.0,0.024526264762912038,0.05,-0.025473735237087965
34,IBEX,63,1,0.015873015873015872,0.02043000260213375,0.05,-0.029569997397866254
35,IBEX,59,4,0.06779661016949153,0.03321248847783996,0.05,-0.016787511522160042
36,IBEX,60,1,0.016666666666666666,0.025084073177293515,0.05,-0.024915926822706488
37,IBEX,62,2,0.03225806451612903,0.033148589306325776,0.05,-0.016851410693674226
38,IBEX,63,2,0.031746031746031744,0.037116843274579744,0.05,-0.012883156725420258
39,IBEX,58,1,0.017241379310344827,0.024478035559793068,0.05,-0.025521964440206935
40,IBEX,61,3,0.04918032786885246,0.03260645086033952,0.05,-0.017393549139660486
41,IBEX,61,1,0.01639344262295082,0.02864029538704496,0.05,-0.02135970461295504
