,IBEX
2000-01-03,11609.98828125
2000-01-04,11206.587890625
2000-01-05,10863.0888671875
2000-01-06,10863.0888671875
2000-01-07,11102.388671875
2000-01-10,11173.2880859375
2000-01-11,11012.3896484375
2000-01-12,10851.7890625
2000-01-13,10931.8896484375
2000-01-14,11183.98828125
2000-01-17,11285.587890625
2000-01-18,11066.2890625
2000-01-19,11120.6884765625
2000-01-20,11047.5888671875
2000-01-21,10969.2890625
2000-01-24,10954.9892578125
2000-01-25,10863.4892578125
2000-01-26,11031.3896484375
2000-01-27,11206.587890625
2000-01-28,11009.2890625
2000-01-31,10835.0888671875
2000-02-01,10969.9892578125
2000-02-02,11195.587890625
2000-02-03,11544.087890625
2000-02-04,11580.087890625
2000-02-07,11506.7880859375
2000-02-08,11834.7880859375
2000-02-09,11939.48828125
2000-02-10,12020.587890625
2000-02-11,12432.5869140625
2000-02-14,12458.5869140625
2000-02-15,12165.0869140625
2000-02-16,12235.0869140625
2000-02-17,12326.6875
2000-02-18,12367.9873046875
2000-02-21,12260.287109375
2000-02-22,12076.8876953125
2000-02-23,12312.287109375
2000-02-24,12352.287109375
2000-02-25,12690.8876953125
2000-02-28,12466.9873046875
2000-02-29,12585.787109375
2000-03-01,12538.6875
2000-03-02,12709.5869140625
2000-03-03,12744.9873046875
2000-03-06,12816.787109375
2000-03-07,12667.1875
2000-03-08,12668.287109375
2000-03-09,12563.1875
2000-03-10,12513.6875
2000-03-13,12359.6875
2000-03-14,12555.787109375
2000-03-15,12279.4873046875
2000-03-16,12260.8876953125
2000-03-17,12369.787109375
2000-03-20,12362.3876953125
2000-03-21,12308.287109375
2000-03-22,12172.1875
2000-03-23,12073.287109375
2000-03-24,12213.787109375
2000-03-27,12161.9873046875
2000-03-28,12211.0869140625
2000-03-29,12088.5869140625
2000-03-30,11833.388671875
2000-03-31,11934.98828125
2000-04-03,11686.388671875
2000-04-04,11584.1884765625
2000-04-05,11374.587890625
2000-04-06,11607.888671875
2000-04-07,11790.587890625
2000-04-10,11768.6884765625
2000-04-11,11515.2880859375
2000-04-12,11542.087890625
2000-04-13,11647.1884765625
2000-04-14,11363.888671875
2000-04-17,11217.2880859375
2000-04-18,11261.48828125
2000-04-19,11339.7880859375
2000-04-20,11501.98828125
2000-04-21,11501.98828125
2000-04-24,11501.98828125
2000-04-25,11425.48828125
2000-04-26,11481.48828125
2000-04-27,11272.98828125
2000-04-28,11467.888671875
2000-05-01,11467.888671875
2000-05-02,11867.1884765625
2000-05-03,11667.888671875
2000-05-04,11597.48828125
2000-05-05,11560.888671875
2000-05-08,11303.98828125
2000-05-09,11071.689453125
2000-05-10,10832.2890625
2000-05-11,11036.2890625
2000-05-12,11102.587890625
2000-05-15,11009.2890625
2000-05-16,11220.6884765625
2000-05-17,10905.2890625
2000-05-18,10889.5888671875
2000-05-19,10544.8896484375
2000-05-22,10326.2890625
2000-05-23,10380.0888671875
2000-05-24,10342.3896484375
2000-05-25,10560.5888671875
2000-05-26,10437.0888671875
2000-05-29,10558.8896484375
2000-05-30,10648.4892578125
2000-05-31,10688.4892578125
2000-06-01,10875.4892578125
2000-06-02,11141.48828125
2000-06-05,11004.189453125
2000-06-06,10782.4892578125
2000-06-07,10688.8896484375
2000-06-08,10799.5888671875
2000-06-09,10873.189453125
2000-06-12,10791.2890625
2000-06-13,10805.9892578125
2000-06-14,10880.689453125
2000-06-15,10875.9892578125
2000-06-16,10723.7890625
2000-06-19,10595.5888671875
2000-06-20,10563.3896484375
2000-06-21,10351.3896484375
2000-06-22,10490.4892578125
2000-06-23,10533.0888671875
2000-06-26,10488.8896484375
2000-06-27,10528.189453125
2000-06-28,10583.189453125
2000-06-29,10366.3896484375
2000-06-30,10581.2890625
2000-07-03,10676.689453125
2000-07-04,10848.8896484375
2000-07-05,10757.5888671875
2000-07-06,10739.5888671875
